question_id,method,k,alpha,latency_ms,num_chunks,top_score,score_normalized,rank_position,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q022,bm25,3,,5.09,3,18.790537,1.0,1,18.510451,18.448071,0.254691,18.292745,18.790537,0.497792,16821,2757
q022,bm25,5,,6.11,5,18.790537,1.0,2,17.484937,18.292745,1.422633,15.748914,18.790537,3.041623,23642,3904
q022,bm25,10,,7.67,10,18.790537,1.0,3,15.808969,15.097461,2.016982,13.761068,18.790537,5.029469,39838,6656
q022,hybrid,3,0.7,392.95,3,0.001543,0.0,7,0.001541,0.001542,4e-06,0.001536,0.001543,7e-06,10436,1690
q022,hybrid,5,0.7,398.42,5,0.001543,0.0,8,0.001537,0.001536,6e-06,0.001529,0.001543,1.5e-05,16775,2711
q022,hybrid,10,0.7,407.9,10,0.001543,0.0,9,0.001394,0.001524,0.000221,0.001072,0.001543,0.000471,21307,3476
q022,hybrid,5,0.5,428.56,5,0.001542,0.0,10,0.001537,0.001536,5e-06,0.00153,0.001542,1.2e-05,16775,2711
q023,dense,3,,638.73,3,0.738551,0.032041,4,0.727942,0.730906,0.01236,0.714369,0.738551,0.024181,3538,589
q023,dense,5,,660.52,5,0.738551,0.032041,5,0.716515,0.714369,0.017986,0.697245,0.738551,0.041306,5199,876
q023,dense,10,,673.48,10,0.738551,0.032041,6,0.703395,0.697219,0.018775,0.684425,0.738551,0.054126,13721,2252
q023,bm25,3,,7.19,3,23.003355,1.0,1,21.156813,20.672797,1.658383,19.794287,23.003355,3.209068,6285,1046
q023,bm25,5,,10.72,5,23.003355,1.0,2,20.368201,19.794287,1.621358,18.766702,23.003355,4.236653,9976,1643
q023,bm25,10,,5.65,10,23.003355,1.0,3,18.846639,18.739994,2.008774,16.560328,23.003355,6.443027,18317,3000
q023,hybrid,3,0.7,392.52,3,0.001544,0.0,7,0.001539,0.001539,6e-06,0.001532,0.001544,1.2e-05,3584,615
q023,hybrid,5,0.7,403.65,5,0.001544,0.0,8,0.001533,0.001532,9e-06,0.001524,0.001544,2.1e-05,7924,1326
q023,hybrid,10,0.7,421.91,10,0.001544,0.0,9,0.001393,0.001523,0.000219,0.001074,0.001544,0.000471,14192,2343
q023,hybrid,5,0.5,424.79,5,0.001543,0.0,10,0.001534,0.001529,7e-06,0.001528,0.001543,1.5e-05,9488,1599
q024,dense,3,,652.47,3,0.76105,0.021452,4,0.747237,0.744948,0.012823,0.735712,0.76105,0.025337,8647,1402
q024,dense,5,,410.92,5,0.76105,0.021452,5,0.740876,0.735712,0.012578,0.730816,0.76105,0.030234,11596,1914
q024,dense,10,,647.83,10,0.76105,0.021452,6,0.727824,0.724448,0.016178,0.712052,0.76105,0.048998,19182,3234
q024,bm25,3,,8.47,3,35.406174,1.0,1,34.274339,34.099043,1.055165,33.317799,35.406174,2.088375,7320,1225
q024,bm25,5,,7.56,5,35.406174,1.0,2,33.411935,33.317799,1.398198,32.031645,35.406174,3.374529,9175,1549
q024,bm25,10,,9.75,10,35.406174,1.0,3,31.21723,31.5536,2.776033,26.82281,35.406174,8.583364,20344,3468
q024,hybrid,3,0.7,421.85,3,0.001546,0.0,7,0.001541,0.001538,4e-06,0.001538,0.001546,7e-06,6285,1068
q024,hybrid,5,0.7,387.57,5,0.001546,0.0,8,0.001537,0.001538,7e-06,0.001527,0.001546,1.9e-05,11466,1962
q024,hybrid,10,0.7,406.15,10,0.001546,0.0,9,0.001441,0.001527,0.000192,0.001074,0.001546,0.000472,19830,3350
q024,hybrid,5,0.5,400.75,5,0.001546,0.0,10,0.001537,0.001538,7e-06,0.001528,0.001546,1.8e-05,9002,1549
q025,dense,3,,624.19,3,0.747511,0.015688,4,0.734311,0.734639,0.013367,0.720783,0.747511,0.026728,8529,1370
q025,dense,5,,666.53,5,0.747511,0.015688,5,0.728088,0.720783,0.012726,0.718576,0.747511,0.028935,10973,1805
q025,dense,10,,410.29,10,0.747511,0.015688,6,0.71835,0.718266,0.013866,0.701978,0.747511,0.045533,20086,3417
q025,bm25,3,,8.52,3,47.551062,1.0,1,46.068277,45.645252,1.323007,45.008516,47.551062,2.542546,6939,1123
q025,bm25,5,,16.58,5,47.551062,1.0,2,44.212714,45.008516,3.690874,37.882105,47.551062,9.668957,10378,1696
q025,bm25,10,,8.45,10,47.551062,1.0,3,40.009634,37.347677,5.085399,35.142477,47.551062,12.408585,21970,3591
q025,hybrid,3,0.7,399.23,3,0.001546,0.0,7,0.001539,0.001538,6e-06,0.001535,0.001546,1.1e-05,8529,1370
q025,hybrid,5,0.7,400.68,5,0.001546,0.0,8,0.001533,0.001535,1.1e-05,0.001517,0.001546,2.9e-05,13385,2202
q025,hybrid,10,0.7,445.73,10,0.001546,0.0,9,0.001347,0.001514,0.000235,0.00107,0.001546,0.000475,20638,3497
q025,hybrid,5,0.5,410.84,5,0.001546,0.0,10,0.00153,0.00153,1.1e-05,0.001515,0.001546,3e-05,10015,1631
q026,dense,3,,644.25,3,0.712664,0.026786,4,0.709518,0.710412,0.003676,0.705477,0.712664,0.007187,2940,532
q026,dense,5,,513.62,5,0.712664,0.026786,5,0.706587,0.705477,0.004833,0.701198,0.712664,0.011465,9640,1698
q026,dense,10,,690.8,10,0.712664,0.026786,6,0.701227,0.699925,0.006626,0.694008,0.712664,0.018656,19840,3385
q026,bm25,3,,8.26,3,26.549598,1.0,1,25.362024,24.785581,1.028616,24.750893,26.549598,1.798705,8439,1366
q026,bm25,5,,12.48,5,26.549598,1.0,2,24.696388,24.750893,1.173208,23.515547,26.549598,3.034052,12192,2006
q026,bm25,10,,8.59,10,26.549598,1.0,3,23.78136,23.454234,1.287685,22.083577,26.549598,4.466021,23491,3887
q026,hybrid,3,0.7,399.94,3,0.001537,0.0,8,0.001535,0.001535,2e-06,0.001534,0.001537,3e-06,7994,1298
q026,hybrid,5,0.7,419.47,5,0.001537,0.0,9,0.001534,0.001534,3e-06,0.001528,0.001537,9e-06,11215,1850
q026,hybrid,10,0.7,412.35,10,0.001537,0.0,10,0.001482,0.001528,0.000142,0.001079,0.001537,0.000459,19287,3259
q026,hybrid,5,0.5,464.08,5,0.001537,0.0,7,0.001531,0.001531,5e-06,0.001526,0.001537,1.2e-05,9363,1546
q027,dense,3,,434.63,3,0.749153,0.018354,4,0.73431,0.734059,0.01472,0.719716,0.749153,0.029437,8529,1370
q027,dense,5,,392.88,5,0.749153,0.018354,5,0.723057,0.719716,0.018638,0.704379,0.749153,0.044774,11596,1914
q027,dense,10,,681.82,10,0.749153,0.018354,6,0.709186,0.702711,0.019314,0.692668,0.749153,0.056486,16825,2819
q027,bm25,3,,17.98,3,40.734846,1.0,1,39.68972,39.687148,1.043843,38.647165,40.734846,2.087681,5550,940
q027,bm25,5,,18.26,5,40.734846,1.0,2,38.707081,38.647165,1.727184,36.112499,40.734846,4.622347,11376,1915
q027,bm25,10,,24.5,10,40.734846,1.0,3,36.744908,36.102755,2.42743,34.076368,40.734846,6.658478,22876,3830
q027,hybrid,3,0.7,435.8,3,0.001543,0.0,7,0.001539,0.001542,6e-06,0.001533,0.001543,1.1e-05,6285,1068
q027,hybrid,5,0.7,394.66,5,0.001543,0.0,8,0.00153,0.001533,1.4e-05,0.00151,0.001543,3.3e-05,9885,1679
q027,hybrid,10,0.7,435.67,10,0.001543,0.0,9,0.001302,0.001295,0.00024,0.00107,0.001543,0.000473,19850,3337
q027,hybrid,5,0.5,399.43,5,0.001543,0.0,10,0.001529,0.00153,1.4e-05,0.001512,0.001543,3.1e-05,9885,1679
q028,dense,3,,648.11,3,0.714111,0.02137,4,0.705002,0.701982,0.008036,0.698913,0.714111,0.015198,1905,332
q028,dense,5,,670.9,5,0.714111,0.02137,5,0.701057,0.698913,0.007898,0.693786,0.714111,0.020325,5182,891
q028,dense,10,,667.45,10,0.714111,0.02137,6,0.696786,0.693626,0.006948,0.691573,0.714111,0.022538,11958,2044
q028,bm25,3,,7.68,3,33.346759,1.0,1,26.197115,22.855365,6.196158,22.389221,33.346759,10.957538,9299,1466
q028,bm25,5,,6.92,5,33.346759,1.0,2,23.831942,22.389221,5.455294,19.896338,33.346759,13.450421,10382,1637
q028,bm25,10,,7.17,10,33.346759,1.0,3,20.970445,19.525071,4.7672,17.155253,33.346759,16.191506,22088,3593
q028,hybrid,3,0.7,386.16,3,0.001534,0.0,8,0.001527,0.001528,6e-06,0.001521,0.001534,1.2e-05,8587,1370
q028,hybrid,5,0.7,405.57,5,0.001534,0.0,9,0.001436,0.001521,0.000198,0.001082,0.001534,0.000452,10179,1649
q028,hybrid,10,0.7,409.31,10,0.001534,0.0,10,0.001257,0.001081,0.000231,0.001074,0.001534,0.00046,15401,2545
q028,hybrid,5,0.5,399.83,5,0.001535,0.0,7,0.001377,0.001528,0.000338,0.000773,0.001535,0.000762,10179,1649
q029,dense,3,,404.63,3,0.710652,0.019446,4,0.708207,0.709649,0.003404,0.704319,0.710652,0.006332,5977,949
q029,dense,5,,662.01,5,0.710652,0.019446,5,0.705512,0.704319,0.004486,0.700271,0.710652,0.01038,7569,1228
q029,dense,10,,398.51,10,0.710652,0.019446,6,0.701739,0.700177,0.005069,0.69657,0.710652,0.014082,13205,2164
q029,bm25,3,,8.7,3,36.467834,1.0,1,26.774889,22.593527,8.420645,21.263305,36.467834,15.204528,8687,1435
q029,bm25,5,,12.57,5,36.467834,1.0,2,24.48092,21.263305,6.732045,21.039605,36.467834,15.428229,11211,1874
q029,bm25,10,,9.49,10,36.467834,1.0,3,21.894372,20.890343,5.293944,18.414033,36.467834,18.053801,31582,5256
q029,hybrid,3,0.7,397.48,3,0.001538,0.0,7,0.001534,0.001537,5e-06,0.001529,0.001538,9e-06,7242,1167
q029,hybrid,5,0.7,393.44,5,0.001538,0.0,8,0.001528,0.001529,1.2e-05,0.001507,0.001538,3.1e-05,14063,2314
q029,hybrid,10,0.7,436.85,10,0.001538,0.0,9,0.001302,0.001294,0.000238,0.00107,0.001538,0.000467,18934,3144
q029,hybrid,5,0.5,425.26,5,0.001537,0.0,10,0.001528,0.001533,1.1e-05,0.001511,0.001537,2.7e-05,14063,2314
q030,dense,3,,668.81,3,0.733054,0.019631,4,0.727383,0.726396,0.005247,0.7227,0.733054,0.010353,2355,409
q030,dense,5,,658.37,5,0.733054,0.019631,5,0.724831,0.7227,0.005099,0.720794,0.733054,0.01226,9038,1471
q030,dense,10,,658.85,10,0.733054,0.019631,6,0.718613,0.72003,0.008167,0.70746,0.733054,0.025594,18835,3129
q030,bm25,3,,22.47,3,37.264661,1.0,1,28.330806,24.808835,7.794439,22.918922,37.264661,14.34574,17088,2873
q030,bm25,5,,18.2,5,37.264661,1.0,2,25.991722,22.918922,6.376546,22.259513,37.264661,15.005149,24226,4018
q030,bm25,10,,21.6,10,37.264661,1.0,3,23.39939,21.720859,5.058152,20.421856,37.264661,16.842805,31221,5216
q030,hybrid,3,0.7,389.23,3,0.001542,0.0,8,0.001539,0.001538,2e-06,0.001537,0.001542,4e-06,9000,1452
q030,hybrid,5,0.7,388.36,5,0.001542,0.0,9,0.001537,0.001537,3e-06,0.001533,0.001542,8e-06,11761,1922
q030,hybrid,10,0.7,377.53,10,0.001542,0.0,10,0.00144,0.00153,0.000191,0.001072,0.001542,0.00047,16959,2811
q030,hybrid,5,0.5,407.7,5,0.001542,0.0,7,0.001537,0.001538,5e-06,0.001528,0.001542,1.4e-05,12618,2067
